label,Value
Clear_Filter,Clear Filter
THANK_YOU,THANK YOU
Your Order is Placed Successfully.,Your Order is Placed Successfully.
You will notify in few Moments.,You will notify in few Moments.
6 Reasons Why You'll love Shopping with us,6 Reasons Why You'll love Shopping with us
Version,Version
More about us,More about us
Follow Us,Follow Us
SEND,SEND
Afzal,Afzal1
